DISTRICTNAME,UNITNAME,Year,TotalAccidents
Bagalkot,Lokapur PS,2021,47
Bagalkot,Lokapur PS,2022,54
Bagalkot,Lokapur PS,2023,52
Bagalkot,Mahalingapur PS,2016,53
Bagalkot,Mahalingapur PS,2017,64
Bagalkot,Mahalingapur PS,2018,44
Bagalkot,Mahalingapur PS,2019,60
Bagalkot,Mahalingapur PS,2020,41
Bagalkot,Mahalingapur PS,2021,40
Bagalkot,Mahalingapur PS,2022,35
Bagalkot,Mahalingapur PS,2023,27
Bagalkot,Mudhol PS,2016,41
Bagalkot,Mudhol PS,2017,65
Bagalkot,Mudhol PS,2018,78
Bagalkot,Mudhol PS,2019,67
Bagalkot,Mudhol PS,2020,58
Bagalkot,Mudhol PS,2021,90
Bagalkot,Mudhol PS,2022,99
Bagalkot,Mudhol PS,2023,102
Bagalkot,Savalgi PS,2016,33
Bagalkot,Savalgi PS,2017,33
Bagalkot,Savalgi PS,2018,27
Bagalkot,Savalgi PS,2019,32
Bagalkot,Savalgi PS,2020,32
Bagalkot,Savalgi PS,2021,32
Bagalkot,Savalgi PS,2022,39
Bagalkot,Savalgi PS,2023,31
Bagalkot,Teradal PS,2016,7
Bagalkot,Teradal PS,2017,15
Bagalkot,Teradal PS,2018,17
Bagalkot,Teradal PS,2019,13
Bagalkot,Teradal PS,2020,12
Bagalkot,Teradal PS,2021,21
Bagalkot,Teradal PS,2022,21
Bagalkot,Teradal PS,2023,25
Ballari,Bellary Rural PS,2016,98
Ballari,Bellary Rural PS,2017,66
Ballari,Bellary Rural PS,2018,59
Ballari,Bellary Rural PS,2019,51
Ballari,Bellary Rural PS,2020,49
Ballari,Bellary Rural PS,2021,68
Ballari,Bellary Rural PS,2022,57
Ballari,Bellary Rural PS,2023,65
Ballari,Bellary Traffic PS,2016,182
Ballari,Bellary Traffic PS,2017,160
Ballari,Bellary Traffic PS,2018,188
Ballari,Bellary Traffic PS,2019,149
Ballari,Bellary Traffic PS,2020,115
Ballari,Bellary Traffic PS,2021,136
Ballari,Bellary Traffic PS,2022,132
Ballari,Bellary Traffic PS,2023,136
Ballari,Choranuru PS,2021,2
Ballari,Choranuru PS,2022,15
Ballari,Choranuru PS,2023,17
Ballari,Gadiganur PS,2016,35
Ballari,Gadiganur PS,2017,38
Ballari,Gadiganur PS,2018,26
Ballari,Gadiganur PS,2019,31
Ballari,Gadiganur PS,2020,27
Ballari,Gadiganur PS,2021,32
Ballari,Hatcholli PS,2016,3
Ballari,Hatcholli PS,2017,2
Ballari,Hatcholli PS,2018,3
Ballari,Hatcholli PS,2019,7
Ballari,Hatcholli PS,2020,4
Ballari,Hatcholli PS,2021,3
Ballari,Hatcholli PS,2022,8
Ballari,Hatcholli PS,2023,4
Ballari,Kampli  PS,2016,12
Ballari,Kampli  PS,2017,11
Ballari,Kampli  PS,2018,16
Ballari,Kampli  PS,2019,17
Ballari,Kampli  PS,2020,12
Ballari,Kampli  PS,2021,16
Ballari,Kampli  PS,2022,23
Ballari,Kampli  PS,2023,17
Ballari,Kuduthini PS,2016,36
Ballari,Kuduthini PS,2017,31
Ballari,Kuduthini PS,2018,42
Ballari,Kuduthini PS,2019,46
Ballari,Kuduthini PS,2020,52
Ballari,Kuduthini PS,2021,39
Ballari,Kuduthini PS,2022,37
Ballari,Kuduthini PS,2023,46
Ballari,Kurugod PS,2016,42
Ballari,Kurugod PS,2017,39
Ballari,Kurugod PS,2018,27
Ballari,Kurugod PS,2019,30
Ballari,Kurugod PS,2020,34
Ballari,Kurugod PS,2021,41
Ballari,Kurugod PS,2022,35
Ballari,Kurugod PS,2023,38
Ballari,Moka PS,2016,31
Ballari,Moka PS,2017,23
Ballari,Moka PS,2018,23
Ballari,Moka PS,2019,17
Ballari,Moka PS,2020,17
Ballari,Moka PS,2021,20
Ballari,Moka PS,2022,23
Ballari,Moka PS,2023,19
Ballari,P.D. Halli PS,2016,17
Ballari,P.D. Halli PS,2017,13
Ballari,P.D. Halli PS,2018,14
Ballari,P.D. Halli PS,2019,20
Ballari,P.D. Halli PS,2020,21
Ballari,P.D. Halli PS,2021,34
Ballari,P.D. Halli PS,2022,15
Ballari,P.D. Halli PS,2023,20
Ballari,Sandur PS,2016,61
Ballari,Sandur PS,2017,36
Ballari,Sandur PS,2018,46
Ballari,Sandur PS,2019,61
Ballari,Sandur PS,2020,43
Ballari,Sandur PS,2021,47
Ballari,Sandur PS,2022,42
Ballari,Sandur PS,2023,44
Ballari,Sirigeri PS,2016,11
Ballari,Sirigeri PS,2017,14
Ballari,Sirigeri PS,2018,22
Ballari,Sirigeri PS,2019,13
Ballari,Sirigeri PS,2020,23
Ballari,Sirigeri PS,2021,25
Ballari,Sirigeri PS,2022,17
Ballari,Sirigeri PS,2023,19
Ballari,Siruguppa PS,2016,32
Ballari,Siruguppa PS,2017,31
Ballari,Siruguppa PS,2018,27
Ballari,Siruguppa PS,2019,24
Ballari,Siruguppa PS,2020,21
Ballari,Siruguppa PS,2021,36
Ballari,Siruguppa PS,2022,35
Ballari,Siruguppa PS,2023,31
Ballari,Tekkalkota PS,2016,26
Ballari,Tekkalkota PS,2017,24
Ballari,Tekkalkota PS,2018,20
Ballari,Tekkalkota PS,2019,16
Ballari,Tekkalkota PS,2020,16
Ballari,Tekkalkota PS,2021,29
Ballari,Tekkalkota PS,2022,21
Ballari,Tekkalkota PS,2023,18
Ballari,Thoranagal PS,2016,35
Ballari,Thoranagal PS,2017,31
Ballari,Thoranagal PS,2018,27
Ballari,Thoranagal PS,2019,32
Ballari,Thoranagal PS,2020,28
Ballari,Thoranagal PS,2021,32
Ballari,Thoranagal PS,2022,43
Ballari,Thoranagal PS,2023,57
Belagavi City,Bagewadi PS,2016,81
Belagavi City,Bagewadi PS,2017,49
Belagavi City,Bagewadi PS,2018,58
Belagavi City,Bagewadi PS,2019,69
Belagavi City,Bagewadi PS,2020,38
Belagavi City,Bagewadi PS,2021,45
Belagavi City,Bagewadi PS,2022,67
Belagavi City,Bagewadi PS,2023,59
Belagavi City,Belagavi Rural PS,2016,89
Belagavi City,Belagavi Rural PS,2017,74
Belagavi City,Belagavi Rural PS,2018,67
Belagavi City,Belagavi Rural PS,2019,60
Belagavi City,Belagavi Rural PS,2020,45
Belagavi City,Belagavi Rural PS,2021,41
Belagavi City,Belagavi Rural PS,2022,60
Belagavi City,Belagavi Rural PS,2023,40
Belagavi City,Belgaum North Traffic PS,2016,244
Belagavi City,Belgaum North Traffic PS,2017,225
Belagavi City,Belgaum North Traffic PS,2018,182
Belagavi City,Belgaum North Traffic PS,2019,164
Belagavi City,Belgaum North Traffic PS,2020,118
Belagavi City,Belgaum North Traffic PS,2021,110
Belagavi City,Belgaum North Traffic PS,2022,132
Belagavi City,Belgaum North Traffic PS,2023,157
Belagavi City,Belgaum South Traffic PS,2016,178
Belagavi City,Belgaum South Traffic PS,2017,128
Belagavi City,Belgaum South Traffic PS,2018,125
Belagavi City,Belgaum South Traffic PS,2019,129
Belagavi City,Belgaum South Traffic PS,2020,77
Belagavi City,Belgaum South Traffic PS,2021,98
Belagavi City,Belgaum South Traffic PS,2022,123
Belagavi City,Belgaum South Traffic PS,2023,140
Belagavi City,Kakati PS,2016,115
Belagavi City,Kakati PS,2017,125
Belagavi City,Kakati PS,2018,129
Belagavi City,Kakati PS,2019,102
Belagavi City,Kakati PS,2020,92
Belagavi City,Kakati PS,2021,72
Belagavi City,Kakati PS,2022,113
Belagavi City,Kakati PS,2023,102
Belagavi City,Marihal PS,2016,108
Belagavi City,Marihal PS,2017,78
Belagavi City,Marihal PS,2018,43
Belagavi City,Marihal PS,2019,48
Belagavi City,Marihal PS,2020,46
Belagavi City,Marihal PS,2021,54
Belagavi City,Marihal PS,2022,67
Belagavi City,Marihal PS,2023,39
Belagavi Dist,Aigali PS,2016,31
Belagavi Dist,Aigali PS,2017,35
Belagavi Dist,Aigali PS,2018,58
Belagavi Dist,Aigali PS,2019,38
Belagavi Dist,Aigali PS,2020,23
Belagavi Dist,Aigali PS,2021,24
Belagavi Dist,Aigali PS,2022,42
Belagavi Dist,Aigali PS,2023,40
Belagavi Dist,Ankalgi PS,2016,22
Belagavi Dist,Ankalgi PS,2017,17
Belagavi Dist,Ankalgi PS,2018,14
Belagavi Dist,Ankalgi PS,2019,16
Belagavi Dist,Ankalgi PS,2020,12
Belagavi Dist,Ankalgi PS,2021,15
Belagavi Dist,Ankalgi PS,2022,26
Belagavi Dist,Ankalgi PS,2023,26
Belagavi Dist,Ankali PS,2016,40
Belagavi Dist,Ankali PS,2017,38
Belagavi Dist,Ankali PS,2018,30
Belagavi Dist,Ankali PS,2019,33
Belagavi Dist,Ankali PS,2020,37
Belagavi Dist,Ankali PS,2021,25
Belagavi Dist,Ankali PS,2022,22
Belagavi Dist,Ankali PS,2023,37
Belagavi Dist,Athani PS,2016,122
Belagavi Dist,Athani PS,2017,113
Belagavi Dist,Athani PS,2018,97
Belagavi Dist,Athani PS,2019,119
Belagavi Dist,Athani PS,2020,101
Belagavi Dist,Athani PS,2021,125
Belagavi Dist,Athani PS,2022,125
Belagavi Dist,Athani PS,2023,148
Belagavi Dist,Bailahongal PS,2016,113
Belagavi Dist,Bailahongal PS,2017,69
Belagavi Dist,Bailahongal PS,2018,99
Belagavi Dist,Bailahongal PS,2019,98
Belagavi Dist,Bailahongal PS,2020,77
Belagavi Dist,Bailahongal PS,2021,77
Belagavi Dist,Bailahongal PS,2022,95
Belagavi Dist,Bailahongal PS,2023,87
Belagavi Dist,Basaweshwar Chowk PS,2016,21
Belagavi Dist,Basaweshwar Chowk PS,2017,22
Belagavi Dist,Basaweshwar Chowk PS,2018,19
Belagavi Dist,Basaweshwar Chowk PS,2019,17
Belagavi Dist,Basaweshwar Chowk PS,2020,20
Belagavi Dist,Basaweshwar Chowk PS,2021,16
Belagavi Dist,Basaweshwar Chowk PS,2022,23
Belagavi Dist,Basaweshwar Chowk PS,2023,19
Belagavi Dist,Chikkodi PS,2016,46
Belagavi Dist,Chikkodi PS,2017,45
Belagavi Dist,Chikkodi PS,2018,40
Belagavi Dist,Chikkodi PS,2019,31
Belagavi Dist,Chikkodi PS,2020,42
Belagavi Dist,Chikkodi PS,2021,46
Belagavi Dist,Chikkodi PS,2022,58
Belagavi Dist,Chikkodi PS,2023,45
Belagavi Dist,Chikkodi Town Traffic PS,2016,60
Belagavi Dist,Chikkodi Town Traffic PS,2017,79
Belagavi Dist,Chikkodi Town Traffic PS,2018,88
Belagavi Dist,Chikkodi Town Traffic PS,2019,73
Belagavi Dist,Chikkodi Town Traffic PS,2020,53
Belagavi Dist,Chikkodi Town Traffic PS,2021,53
Belagavi Dist,Chikkodi Town Traffic PS,2022,73
Belagavi Dist,Chikkodi Town Traffic PS,2023,75
Belagavi Dist,Doddawad PS,2016,21
Belagavi Dist,Doddawad PS,2017,15
Belagavi Dist,Doddawad PS,2018,17
Belagavi Dist,Doddawad PS,2019,22
Belagavi Dist,Doddawad PS,2020,15
Belagavi Dist,Doddawad PS,2021,32
Belagavi Dist,Doddawad PS,2022,32
Belagavi Dist,Doddawad PS,2023,37
Belagavi Dist,Ghataprabha PS,2016,82
Belagavi Dist,Ghataprabha PS,2017,88
Belagavi Dist,Ghataprabha PS,2018,86
Belagavi Dist,Ghataprabha PS,2019,107
Belagavi Dist,Ghataprabha PS,2020,82
Belagavi Dist,Ghataprabha PS,2021,88
Belagavi Dist,Ghataprabha PS,2022,95
Belagavi Dist,Ghataprabha PS,2023,93
Belagavi Dist,Gokak Rural PS,2016,77
Belagavi Dist,Gokak Rural PS,2017,56
Belagavi Dist,Gokak Rural PS,2018,74
Belagavi Dist,Gokak Rural PS,2019,62
Belagavi Dist,Gokak Rural PS,2020,49
Belagavi Dist,Gokak Rural PS,2021,60
Belagavi Dist,Gokak Rural PS,2022,57
Belagavi Dist,Gokak Rural PS,2023,71
Belagavi Dist,Gokak Town PS,2016,54
Belagavi Dist,Gokak Town PS,2017,49
Belagavi Dist,Gokak Town PS,2018,46
Belagavi Dist,Gokak Town PS,2019,41
Belagavi Dist,Gokak Town PS,2020,28
Belagavi Dist,Gokak Town PS,2021,28
Belagavi Dist,Gokak Town PS,2022,25
Belagavi Dist,Gokak Town PS,2023,37
Belagavi Dist,Harugeri PS,2016,34
Belagavi Dist,Harugeri PS,2017,30
Belagavi Dist,Harugeri PS,2018,51
Belagavi Dist,Harugeri PS,2019,51
Belagavi Dist,Harugeri PS,2020,39
Belagavi Dist,Harugeri PS,2021,50
Belagavi Dist,Harugeri PS,2022,62
Belagavi Dist,Harugeri PS,2023,69
Belagavi Dist,Hukkeri PS,2016,69
Belagavi Dist,Hukkeri PS,2017,62
Belagavi Dist,Hukkeri PS,2018,51
Belagavi Dist,Hukkeri PS,2019,42
Belagavi Dist,Hukkeri PS,2020,49
Belagavi Dist,Hukkeri PS,2021,55
Belagavi Dist,Hukkeri PS,2022,84
Belagavi Dist,Hukkeri PS,2023,68
Belagavi Dist,Kagwad PS,2016,66
Belagavi Dist,Kagwad PS,2017,60
Belagavi Dist,Kagwad PS,2018,51
Belagavi Dist,Kagwad PS,2019,60
Belagavi Dist,Kagwad PS,2020,57
Belagavi Dist,Kagwad PS,2021,59
Belagavi Dist,Kagwad PS,2022,51
Belagavi Dist,Kagwad PS,2023,64
Belagavi Dist,Katkol PS,2016,61
Belagavi Dist,Katkol PS,2017,70
Belagavi Dist,Katkol PS,2018,63
Belagavi Dist,Katkol PS,2019,45
Belagavi Dist,Katkol PS,2020,46
Belagavi Dist,Katkol PS,2021,39
Belagavi Dist,Katkol PS,2022,56
Belagavi Dist,Katkol PS,2023,67
Belagavi Dist,Khadakalat PS,2017,26
Belagavi Dist,Khadakalat PS,2018,22
Belagavi Dist,Khadakalat PS,2019,28
Belagavi Dist,Khadakalat PS,2020,17
Belagavi Dist,Khadakalat PS,2021,31
Belagavi Dist,Khadakalat PS,2022,19
Belagavi Dist,Khadakalat PS,2023,24
Belagavi Dist,Khanapur PS,2016,138
Belagavi Dist,Khanapur PS,2017,129
Belagavi Dist,Khanapur PS,2018,134
Belagavi Dist,Khanapur PS,2019,94
Belagavi Dist,Khanapur PS,2020,84
Belagavi Dist,Khanapur PS,2021,88
Belagavi Dist,Khanapur PS,2022,107
Belagavi Dist,Khanapur PS,2023,100
Belagavi Dist,Kittur PS,2016,87
Belagavi Dist,Kittur PS,2017,81
Belagavi Dist,Kittur PS,2018,72
Belagavi Dist,Kittur PS,2019,71
Belagavi Dist,Kittur PS,2020,63
Belagavi Dist,Kittur PS,2021,68
Belagavi Dist,Kittur PS,2022,54
Belagavi Dist,Kittur PS,2023,86
Belagavi Dist,Kudachi PS,2016,9
Belagavi Dist,Kudachi PS,2017,17
Belagavi Dist,Kudachi PS,2018,13
Belagavi Dist,Kudachi PS,2019,12
Belagavi Dist,Kudachi PS,2020,13
Belagavi Dist,Kudachi PS,2021,6
Belagavi Dist,Kudachi PS,2022,12
Belagavi Dist,Kudachi PS,2023,23
Belagavi Dist,Kulgod PS,2016,27
Belagavi Dist,Kulgod PS,2017,21
Belagavi Dist,Kulgod PS,2018,20
Belagavi Dist,Kulgod PS,2019,35
Belagavi Dist,Kulgod PS,2020,24
Belagavi Dist,Kulgod PS,2021,31
Belagavi Dist,Kulgod PS,2022,47
Belagavi Dist,Kulgod PS,2023,43
Belagavi Dist,Mudalgi PS,2016,34
Belagavi Dist,Mudalgi PS,2017,33
Belagavi Dist,Mudalgi PS,2018,46
Belagavi Dist,Mudalgi PS,2019,49
Belagavi Dist,Mudalgi PS,2020,34
Belagavi Dist,Mudalgi PS,2021,41
Belagavi Dist,Mudalgi PS,2022,52
Belagavi Dist,Mudalgi PS,2023,55
Belagavi Dist,Murgod PS,2016,109
Belagavi Dist,Murgod PS,2017,103
Belagavi Dist,Murgod PS,2018,84
Belagavi Dist,Murgod PS,2019,103
Belagavi Dist,Murgod PS,2020,75
Belagavi Dist,Murgod PS,2021,78
Belagavi Dist,Murgod PS,2022,97
Belagavi Dist,Murgod PS,2023,112
Belagavi Dist,Nandagad PS,2016,49
Belagavi Dist,Nandagad PS,2017,59
Belagavi Dist,Nandagad PS,2018,53
Belagavi Dist,Nandagad PS,2019,48
Belagavi Dist,Nandagad PS,2020,41
Belagavi Dist,Nandagad PS,2021,28
Belagavi Dist,Nandagad PS,2022,35
Belagavi Dist,Nandagad PS,2023,32
Belagavi Dist,Nesargi PS,2016,39
Belagavi Dist,Nesargi PS,2017,29
Belagavi Dist,Nesargi PS,2018,44
Belagavi Dist,Nesargi PS,2019,29
Belagavi Dist,Nesargi PS,2020,32
Belagavi Dist,Nesargi PS,2021,27
Belagavi Dist,Nesargi PS,2022,27
Belagavi Dist,Nesargi PS,2023,28
Belagavi Dist,Nippani Rural PS,2016,74
Belagavi Dist,Nippani Rural PS,2017,48
Belagavi Dist,Nippani Rural PS,2018,54
Belagavi Dist,Nippani Rural PS,2019,32
Belagavi Dist,Nippani Rural PS,2020,41
Belagavi Dist,Nippani Rural PS,2021,49
Belagavi Dist,Nippani Rural PS,2022,41
Belagavi Dist,Nippani Rural PS,2023,41
Belagavi Dist,Nippani Town PS,2016,37
Belagavi Dist,Nippani Town PS,2017,43
Belagavi Dist,Nippani Town PS,2018,62
Belagavi Dist,Nippani Town PS,2019,41
Belagavi Dist,Nippani Town PS,2020,30
Belagavi Dist,Nippani Town PS,2021,35
Belagavi Dist,Nippani Town PS,2022,38
Belagavi Dist,Nippani Town PS,2023,40
Belagavi Dist,Raibag PS,2016,64
Belagavi Dist,Raibag PS,2017,70
Belagavi Dist,Raibag PS,2018,74
Belagavi Dist,Raibag PS,2019,64
Belagavi Dist,Raibag PS,2020,61
Belagavi Dist,Raibag PS,2021,88
Belagavi Dist,Raibag PS,2022,66
Belagavi Dist,Raibag PS,2023,87
Belagavi Dist,Ramadurga PS,2016,31
Belagavi Dist,Ramadurga PS,2017,34
Belagavi Dist,Ramadurga PS,2018,65
Belagavi Dist,Ramadurga PS,2019,53
Belagavi Dist,Ramadurga PS,2020,35
Belagavi Dist,Ramadurga PS,2021,47
Belagavi Dist,Ramadurga PS,2022,67
Belagavi Dist,Ramadurga PS,2023,46
Belagavi Dist,Sadalaga PS,2016,41
Belagavi Dist,Sadalaga PS,2017,37
Belagavi Dist,Sadalaga PS,2018,23
Belagavi Dist,Sadalaga PS,2019,33
Belagavi Dist,Sadalaga PS,2020,31
Belagavi Dist,Sadalaga PS,2021,30
Belagavi Dist,Sadalaga PS,2022,41
Belagavi Dist,Sadalaga PS,2023,46
Belagavi Dist,Sankeshwar PS,2016,108
Belagavi Dist,Sankeshwar PS,2017,93
Belagavi Dist,Sankeshwar PS,2018,109
Belagavi Dist,Sankeshwar PS,2019,91
Belagavi Dist,Sankeshwar PS,2020,96
Belagavi Dist,Sankeshwar PS,2021,79
Belagavi Dist,Sankeshwar PS,2022,96
Belagavi Dist,Sankeshwar PS,2023,90
Belagavi Dist,Soundatti PS,2016,129
Belagavi Dist,Soundatti PS,2017,108
Belagavi Dist,Soundatti PS,2018,107
Belagavi Dist,Soundatti PS,2019,138
Belagavi Dist,Soundatti PS,2020,109
Belagavi Dist,Soundatti PS,2021,89
Belagavi Dist,Soundatti PS,2022,100
Belagavi Dist,Soundatti PS,2023,153
Belagavi Dist,Yamakanmardi PS,2016,109
Belagavi Dist,Yamakanmardi PS,2017,95
Belagavi Dist,Yamakanmardi PS,2018,103
Belagavi Dist,Yamakanmardi PS,2019,119
Belagavi Dist,Yamakanmardi PS,2020,86
Belagavi Dist,Yamakanmardi PS,2021,89
Belagavi Dist,Yamakanmardi PS,2022,110
Belagavi Dist,Yamakanmardi PS,2023,94
Bengaluru City,Adugodi Traffic PS,2016,75
Bengaluru City,Adugodi Traffic PS,2017,75
Bengaluru City,Adugodi Traffic PS,2018,50
Bengaluru City,Adugodi Traffic PS,2019,62
Bengaluru City,Adugodi Traffic PS,2020,29
Bengaluru City,Adugodi Traffic PS,2021,18
Bengaluru City,Adugodi Traffic PS,2022,41
Bengaluru City,Adugodi Traffic PS,2023,61
Bengaluru City,Airport Traffic PS,2016,147
Bengaluru City,Airport Traffic PS,2017,76
Bengaluru City,Airport Traffic PS,2018,107
Bengaluru City,Airport Traffic PS,2019,84
Bengaluru City,Airport Traffic PS,2020,61
Bengaluru City,Airport Traffic PS,2021,63
Bengaluru City,Airport Traffic PS,2022,78
Bengaluru City,Airport Traffic PS,2023,89
Bengaluru City,Ashoknagar Traffic PS,2016,71
Bengaluru City,Ashoknagar Traffic PS,2017,58
Bengaluru City,Ashoknagar Traffic PS,2018,55
Bengaluru City,Ashoknagar Traffic PS,2019,60
Bengaluru City,Ashoknagar Traffic PS,2020,37
Bengaluru City,Ashoknagar Traffic PS,2021,42
Bengaluru City,Ashoknagar Traffic PS,2022,35
Bengaluru City,Ashoknagar Traffic PS,2023,34
Bengaluru City,Banasawadi Traffic PS,2016,92
Bengaluru City,Banasawadi Traffic PS,2017,104
Bengaluru City,Banasawadi Traffic PS,2018,129
Bengaluru City,Banasawadi Traffic PS,2019,116
Bengaluru City,Banasawadi Traffic PS,2020,82
Bengaluru City,Banasawadi Traffic PS,2021,96
Bengaluru City,Banasawadi Traffic PS,2022,115
Bengaluru City,Banasawadi Traffic PS,2023,86
Bengaluru City,Banashankari Traffic PS,2016,132
Bengaluru City,Banashankari Traffic PS,2017,119
Bengaluru City,Banashankari Traffic PS,2018,100
Bengaluru City,Banashankari Traffic PS,2019,102
Bengaluru City,Banashankari Traffic PS,2020,64
Bengaluru City,Banashankari Traffic PS,2021,68
Bengaluru City,Banashankari Traffic PS,2022,65
Bengaluru City,Banashankari Traffic PS,2023,87
Bengaluru City,Basavanagudi Traffic PS,2016,100
Bengaluru City,Basavanagudi Traffic PS,2017,76
Bengaluru City,Basavanagudi Traffic PS,2018,70
Bengaluru City,Basavanagudi Traffic PS,2019,60
Bengaluru City,Basavanagudi Traffic PS,2020,50
Bengaluru City,Basavanagudi Traffic PS,2021,48
Bengaluru City,Basavanagudi Traffic PS,2022,77
Bengaluru City,Basavanagudi Traffic PS,2023,90
Bengaluru City,Bellanduru Traffic PS,2023,42
Bengaluru City,Byadarahalli PS,2016,86
Bengaluru City,Byadarahalli PS,2017,121
Bengaluru City,Byadarahalli PS,2018,110
Bengaluru City,Byadarahalli PS,2019,80
Bengaluru City,Byadarahalli PS,2020,51
Bengaluru City,Byadarahalli PS,2021,71
Bengaluru City,Byadarahalli PS,2022,118
Bengaluru City,Byadarahalli PS,2023,14
Bengaluru City,Byatrarayanapura Traffic PS,2016,121
Bengaluru City,Byatrarayanapura Traffic PS,2017,157
Bengaluru City,Byatrarayanapura Traffic PS,2018,117
Bengaluru City,Byatrarayanapura Traffic PS,2019,126
Bengaluru City,Byatrarayanapura Traffic PS,2020,106
